ID,Posted at,Screen name,Text
585929267151638528,2015-04-08 22:16:37 +0000,mapdruid,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585923892461580289,2015-04-08 21:55:16 +0000,vchakrav,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585923881388507136,2015-04-08 21:55:13 +0000,illuminance,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585917092089753600,2015-04-08 21:28:15 +0000,Gaming_Dude,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585913321846661120,2015-04-08 21:13:16 +0000,Milr0c,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585912449724841984,2015-04-08 21:09:48 +0000,jknowles,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585911912287854592,2015-04-08 21:07:40 +0000,muellerwHH,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585911839168602113,2015-04-08 21:07:22 +0000,guilhermejd1,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585911666505867266,2015-04-08 21:06:41 +0000,magickair,"RT @astrobiased: #openvisconf was amazing & the open source, collaboratively written notes on the talks are jaw-dropping: http://t.co/RE9g7zHtws  ﾉ◕ヮ◕)ﾉ*:・ﾟ✧"
585910675005906945,2015-04-08 21:02:45 +0000,bramatti,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585910339893604352,2015-04-08 21:01:25 +0000,moritz_stefaner,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585910310588063745,2015-04-08 21:01:18 +0000,YueQiu_cuj,So true! RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/nnYqj4l0hH
585909994031316992,2015-04-08 21:00:02 +0000,harrisj,RT @albertocairo: That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585909748794404865,2015-04-08 20:59:04 +0000,arnicas,RT @poezn: Got a number of papers from @uwdata on my list as a result of @jeffrey_heer talks/convos at #openvisconf. You guys are insanely prolific!
585909572465983488,2015-04-08 20:58:22 +0000,albertocairo,That's how I feel about many tutorials MT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/yyI0yFXRpz
585907672534294528,2015-04-08 20:50:49 +0000,georgiamoon,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585904268747636736,2015-04-08 20:37:17 +0000,thefreemanlab,"RT @astrobiased: #openvisconf was amazing & the open source, collaboratively written notes on the talks are jaw-dropping: http://t.co/RE9g7zHtws  ﾉ◕ヮ◕)ﾉ*:・ﾟ✧"
585904161885069312,2015-04-08 20:36:52 +0000,uwdata,RT @poezn: Got a number of papers from @uwdata on my list as a result of @jeffrey_heer talks/convos at #openvisconf. You guys are insanely prolific!
585904041256996864,2015-04-08 20:36:23 +0000,7TeV,"RT @palamago: Nice presentation of @awoodruff   about #maps and #dataviz in #openvisconf
http://t.co/ai1NuYz6gn http://t.co/eD2koSCUqh"
585903453605470208,2015-04-08 20:34:03 +0000,poezn,Got a number of papers from @uwdata on my list as a result of @jeffrey_heer talks/convos at #openvisconf. You guys are insanely prolific!
585896840723308544,2015-04-08 20:07:46 +0000,macmengerink,"RT @zevross: Three great #d3js projects from speakers at #openvisconf 

http://t.co/iJ4HKaJHDb
http://t.co/oB2oV7Hhf2
http://t.co/D6GEqec1Qe"
585896546450956288,2015-04-08 20:06:36 +0000,taraadiseshan,"After three days of hanging out at #openvisconf and the MIT @medialab, my head is so pleasantly full of ideas"
585895387833114624,2015-04-08 20:02:00 +0000,pixelia_me,"RT @AlexGraul: Watching @moebio unveil a composable visualisation infrastructure & visual dev env, this could be huge #openvisconf http://t.co/B81UgqTB9M"
585890654632464386,2015-04-08 19:43:12 +0000,esdot,https://t.co/WBtyeodZ8N I just couldn't resist after seeing @laurmccarthy's P5 demo #openvisconf #gits #laughingman @pi_inthecloud
585888892139794433,2015-04-08 19:36:11 +0000,astrobiased,"#openvisconf was amazing & the open source, collaboratively written notes on the talks are jaw-dropping: http://t.co/RE9g7zHtws  ﾉ◕ヮ◕)ﾉ*:・ﾟ✧"
585886616662736898,2015-04-08 19:27:09 +0000,astrobiased,RT @urbandata: How ZIP codes and ZCTAs work: @lenagroeger http://t.co/puFQs4DK0S #demographics #NNIP #openvisconf http://t.co/cAB0L5Dlob
585886199535038464,2015-04-08 19:25:29 +0000,dej611,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585883134912294912,2015-04-08 19:13:19 +0000,farrelldlfarrel,@dominikus or in my case total hack :) Enjoyed your #openvisconf  talk. Looking forward to playing around with WebGL and pixi.js a bit
585877043943972864,2015-04-08 18:49:07 +0000,Carles_,"RT @zevross: Three great #d3js projects from speakers at #openvisconf 

http://t.co/iJ4HKaJHDb
http://t.co/oB2oV7Hhf2
http://t.co/D6GEqec1Qe"
585873729231523842,2015-04-08 18:35:56 +0000,fredbenenson,@jonobr1 good meeting @ #openvisconf dude!
585869707531558912,2015-04-08 18:19:57 +0000,dvrnd,"#openvisconf цього року, судячи з відгуків, була просто фантастичною. Тут https://t.co/gH5t6MiU8y конспект всіх виступів. Дуже рекомендую!"
585868630048559105,2015-04-08 18:15:40 +0000,TheWebNomad,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585868049611300864,2015-04-08 18:13:22 +0000,GrayAreaorg,RT @jonobr1: Excited to share the talk I did at #openvisconf for #SF’s own festival by @GrayAreaorg this Memorial Day Weekend: http://t.co/uKgGo3Xhie
585866065823019008,2015-04-08 18:05:29 +0000,ojalajuho,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865774717337601,2015-04-08 18:04:20 +0000,laurelatoreilly,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865383921463297,2015-04-08 18:02:47 +0000,noahi,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865014369595392,2015-04-08 18:01:18 +0000,jcukier,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585862283793928193,2015-04-08 17:50:27 +0000,phil_renaud,"Back in Halifax after a great couple days in Boston for #openvisconf . Had a blast at the conference, but 3 days without wifi = blah"
585862056127135745,2015-04-08 17:49:33 +0000,sandsfish,so good to see friends at #openvisconf! inspiration recharge! thx @superSGP @moebio @zanstrong @ireneros @kanarinka !
585860536144961536,2015-04-08 17:43:31 +0000,xpiot,RT @dominikus: .@moebio's Lichen could be the ultimate remixing engine for the web - looks amazing already! #openvisconf
585855769649795073,2015-04-08 17:24:34 +0000,Milr0c,RT @vlandham: Thanks #openvisconf for scrolling with me. Slides resources and code for my scroll talk are here: http://t.co/cvqC3hVl3j
